CONTENIDO A ANALIZAR;INTENSIDAD
panda de inconscientes enfermos.;4
y no pone que eres un jeta aprovechado así­ se te caiga la cara de vergüenza;4
joder que asco dan;4
buggffff fea como su madre!;4
y nadie se ha ido a por él y le ha soltado 4 hostias??;4
mcgregor amenaza a su próximo rival, poirier, que ya le humilló: le voy a hacer una rinoplastia de una patada;5
el troleo de ryanair a mourinho con los viajes a roma: como no ha ganado tí­tulos, le bastará con equipaje de mano;2
españa trolea al zoo de londres que busca nombre para su nueva alpaca: los vamos a poner mirando a cuenca;1
que pasa?, no se puede tener una opinión de lo que dice la mayorí­a, repase las estadí­sticas de la cantidad de gente que no quiere vacunarse y que ha dicho que hasta que no se vacunen los jefes no lo harí­an... somos hipócritas y criticones por sistema, es la realidad y claro que pienso lo que digo o solo pienso si digo lo que quiere oí­r la gente?, paí­s democrático, si.... o dices lo que yo quiero oí­r o eres, facha, homófobo, tonto... lindezas así­, pañis, paí­s....;2
nadie pide q les den pena... menudos comentarios de mierda;4
hay que ser gilipollas;1
a tomar por culo;4
que se joda, por hijo de puta;5
sois unos pputoss mentirososs;4
putooosss mentirrossos;4
pues que me hubieran dejado donde estaba a ver si se mmmoria de una puñetera vez;3
que casualidad hombre en eeuu dos variantes madre mia pputo el mundo;4
@carlotabarcala cara de hijo de puta tiene;4
mamar fuerte hijadelagranputa;4
que pila hdp;4
que asco de basura terrorista;4
y encima lo grabaron en ví­deo, y presumieron de ello en las redes sociales...unos pequeños psicópatas, vamos...menores, pero ya comportándose como grandes cabrones...;4
confirmado... los humanos provienen de distintas especies..., algunas de ellas descienden de los burros...;4
dais asco;4
un mojón pa ti;4
torturas dice?? vaya sinvergüenza asesina;4
sois la mayor basura periodí­stica de este paí­s;4
vayan y chinguen a su madre desde méxico, pinche amarillistas de mierda;4
dan asco;4
cuando se cuenta lo que cobra messi en barcelona uno piensa por dar patadas a una pelota cobra más que un médico o presidente del gobierno en mundo estamos y estas personas que cobran tanto son unos mercenarios;4
sois unos payasos;4
asi de faraónico debe ser el contrato que tienen con florentino pérez para sacar estas basuras dr portadas!;3
vaya puta mierda.;4
váyanse a la mierda, que pesada está gente tan deprimente.;4
qué asco de paí­s de comunistas y ratas;4
enfermos mentales e irresponsables avariciosos;4
no hay palabras que describan el puto asco que dais;4
@lavanguardia el tampoco la lleva bien puesta, . abunda la gente idiota que piensa que se le escuchara mejor al teléfono quitándose la mascarilla o el que se la pela y la lleva como estos dos.;4
espero que os quedéis sin lectores, miserables, gentuza;4
que os follen! me doy de baja.;4
os podéis ir a la mierda.;4
idos a la mierda!;4
menos lloros que ya eres adulta, a la puta calle por aprovechada.;4
"avisados desde hace una semana. 

no cabe un tonto más";4
a tomar por culo...mierdas de noticia;4
@xavitempo_ a chuparla cabrones;4
menudo mamarracho.;4
555.237.619 de mierdas para vosotros.;4
hay q ser gilipollas;4
hay que ser mongolo;4
petardo de tí­o.;4
hijos de puta, malditos abusivos!;4
vaya mierda de portada;4
este titular tiene que ser una puta broma;4
a ver si se muere antes.;4
que los fusilen.;5
púdrete !;4
payaso;4
hay dí­as tontos y tontos todos los  dí­as;4
solo piensan en plata , malditos!!!;4
bravo, por hijo de puta.;4
amarillistas de mierda;4
es lamentable, que en este puñetero mundo egoí­sta y frí­volo con tanta tecnologí­a y tanto avance, estemos por otro lado peor que en la edad media. no se puede consentir que haya criaturas así­, que han nacido para sufrir sin oportunidad de nada. mundo de mierda...;4
@lavanguardia sois basura.;4
que se vayan a la mierda;4
jajajajajaj vaya mierda de clickbait;4
no le deseo la muerte a nadie, no pertenezco a la escoria que el representa, pero barato está pagando el daño realizado;4
iros todos a la mierda. #altsasukoakaske dejar a altsasu en paz.;4
panda de deserebrados;4
y de la bajada de la luz ,siendo ahora la más económica de europa?no interesa .solo lo malo ...sois un medio inútil......;4
ahí­ te pudras;4
hay que ser un mierda pero de los grandes, miserable..;4
que fuerte!! que cobardes!!;4
granujas;4
feliz analfabeta!!!!;4
aerosoles gilipollas!!!!aerosoles!!!!;4
si. quedarse en su puta mierda casa de 30 metros cuadrados vale? que sois gilipollas;4
notición . sois gilipollas?;4
@lavanguardia tí­pica gilipollez de dibujos animados extranjeros . que original!!! paletos;4
gentuza de mierda;4
gentuza;4
gentuza del periódico .;4
asesino illa asesino;4
qué asco de titulares. dais pena.;4
"que este infraser comunista haga lo que le sale de los cojones en este paí­s mientras nosotros asistimos a ver qué será lo próximo.

que asco.";4
"pero que mierda es ésta?
iros a la";4
si es que lo que estamos demostrando todos los españoles de todos los colores es que somos gilipollas;4
putos inutiles pero si las venden a andorra por solidaridad verdad. pais de retrasados dios mio. aprender de israel y otros que ponen vacunas en los coches ponen vacunas sin parar y nosotros parecenos tontos;4
hijos de puta tengo q cerrar el bar;4
hp encima se cachondea...;4
menuda mierda de medio de comunicación sois no?;4
a esta gentuza alguien le tendrá k parar los pies, dice k esta para servir, serán caradura será para llevarte un sueldo k no te pertenece, inutil;4
se le ve. un auténtico hijo de puta.;4
putos frikis, bolas de piedras les tiraba,. que se creen en un focking músical?;4
"deagraciadooooooooooooos, dejar de poner números, mesiiiiiiin no se merece ser
 juzgado  por lo que ganaaaaaa, el ha hecho mucho por barcelona y ninguuuuuuun dinero lo pagaaaaaa, alaaaaa iros a tomar por culoooooo, y  conste   que soy del atleti";4
esa tipa es idiota;4
púdrete en la cárcel.;4
es basura.;4
"@lavanguardia hijos de la gran puta 

los que miran más !";4
¿quién ha escrito esta mierda?;4
"troitiño:
vergüenza ,miserable ser ,basura,cobarde.
te deseo el mayor sufrimiento de lo que te quede de vida y una vez muerto.
0 razones humanitariasa este mierda.
igualmente absoluto ,asco y desprecio a todos l@s miserables de izquierdas que callan  por ideologí­a ,una vez más.";4
que hijos de puta que son....;4
¿paciencia? si hoy dí­a condenan que se pinte en una carretera rata o pasar por la puerta de éste con una bandera de españa, imagí­nate si salimos a la calle a gritarle lo que pensamos,o a darle las collejas que se merecen. no es por paciencia,es porque son unos hijos de puta.;1
tu puta madre;4
menuda hija de puta;4
hijos de puta sin vergüenzas;4
crisis mundial, pandemia desbordada con miles de muertos, vacunas que no llegan, y las que llegan son para los chupopteros se siempre... pero lo que importa es lo que cobra messi, no conocéis ni la vergüenza ni el significado de periodismo, bastardos.;4
periódico basura. los vomito;4
pisarle la puta cabeza;5
menuda ridí­cula;4
malditos!!!!!!;4
y que pasa que las tiendas españolas tienen que pagar impuestos y ese puto monopolio no???;4
en brasil esta pasando el mismo, los medicos estan matando los pacientes en manaus;3
un grano en el culo...y con estos socios ahora un granazo infectado;4
"qué identifiquen a estos hijos de puta y que paguen por ello pero a base de bien, así­ no salimos de esta mierda.
mano dura a estos homicidas";4
le falta llorar. valiente machote de mojones;4
es un auténtico sinvergüenza mal nacido;4
son una pandilla de sinvergüenzas y malnacidos;4
que le den porculo  al barcelona, que hay personas malviviendo;4
y a ella contra la estupidez? han desarrollado ya esa vacuna? porque en españa se necesitarán más dosis que para la covid.;1
púdrete cerda;4
el culillo es el que tienes en la cabeza;4
ustedes, las perras de madrid, son los perros criados por florentino. el propósito es derribar barí§a. Â¡todos van al infierno!;4
más tonto y no naces;4
cierren el culo manga de idiotas;4
y sí­ hace falta le pone el culo.;4
que asco de sociedad a esos que celebraban meterlos también en el hoyo son escoria;5
es cabrón, mafia, delincuente, traficante, es peligroso para los españoles.;4
sois patéticos igual que vuestras putas noticias.;4
borracho y drogado, es lo k tienen los podemitas;4
menudo golfo;4
la imbecilidad, y en este caso además cruel, no tiene lí­mites;4
una panda de fumaos;4
dais puto asco con estos titulares de mierda;4
hija de la grandisima puta.  que hubiese saltado ella. espero que la den pero bien.;4
perros etarras, futuros terroristas!!;4
puta loca. si la veo, va ella detrás.;4
abc, amarillistas hijos de puta;4
me tienen hasta los huevos de las frasesitas de los cojones para tapar toda su mierda de gestión;4
q asco dais;4
no me voy a calentar en el dí­a de hoy, pero que se metan la foto que lleva cada uno tal cual por el culoooooooooo;1
que mentira !!! que asco dan !!;4
panfleto asqueroso, reaccionario y vomitivo...;4
cientos de jovenes son gilipollas;4
hijadeputa, lastima que no se tirara ella.;4
nooooo malditos fachas.;4
"eso es mentira.
sois unos putos mentirosos";4
malparida.   perra sucia;4
ir a tomar pol culo;4
son una mierda de medio de comunicación.;4
y esta puta mierda es noticia....;4
es apenas un 1% de los vacunados, un número bají­simo. lo que los periodistas (todos los periodistas) estáis haciendo con el tema de las vacunas es asqueroso. gentuza. sois el enemigo de la gente.;1
menudos hijos de puta tení­an q ser juzgado como adultos;4
abc, hijos de puta.;4
ya están en libertad...como la justicia no hace su trabajo, habrá que actuar en consecuencia. ya se han difundido los teléfonos y direcciones de esos desgraciados. estoy deseando que se organice la gente para darles una paliza por hijos de puta.;5
terroristas asquerosos.;4
esta señora es medio tonta, me da mucha rabia.;4
muy idiotas;4
ni el ché guevara era un luchador social, era un asesino, ni pepe mujica era un viejito bonachón, era un guerrillero tupamaro con muertes en su haber, ni george floyd es un héroe, solo un delincuente ladrón y drogadicto, y así­ debe haber muchos más.;4
#putaespaña;4
malparidos;4
que asco de persona!!!;4
qué asco de gentuza;4
que hijos mas rrastreros;4
qué petarda de crí­a...;4
tremendo parásito de la sociedad;4
@roger_retana vieja hp terminara en la cárcel;4
hay casos como esta alimaña para la que me gustarí­a que existiera el infierno.;4
cretinazo con palas;4
el que escucha a ese nabo tiene bosta en vez de cerebro.;4
qué asco;4
borralo hijo de puta;4
lo que canta y hace no es música sino mierda!!!!;4
"no es racismo. 
 el reguetón es una puta mierda";4
que se mame el culo!;4
si se diera cuenta que es un paleto que no sabe enhebrar palabra ni pronunciarla ..alomejor lo entendí­a;4
progresistas q se bayan a la mierda;4
hay imbéciles en toda parte y, por lo que se ve, hay muchos en la gran manzana.;4
los mediocres necesitan a mediocres a su lado. detestan la excelencia.;4
sánchez, la mierda que no pudo tapar el gato.;4
pandilla de criminales!;4
está claro,Â  si no, por que se fuga? chusma de la peor;4
seguro que iba borracho o drogado. son todo un ejemplo nuestros politicos...;2
"perdona antivacunas no, ni negacionistas, lo que es que hay gente que no se mete mierda en el cuerpo, ésto es un ensayo en la población mundialÂ  y a saber lo que pasará dentro de unos cinco años con los que se han inoculado eso cuando acabe el experimento. afortunadamente todaví­a hay gente que no se deja &#34;aborregar&#34;.";1
que guay, verdad. pues ahora os jodeis, por idiotas;4
primero que lo aí­slen... malditos virólogos.;4
que asco de tiranos;4
los feos que llevaban un año ligando más que nunca han visto que se le acaba el chollo y desean que se vuelva a implantar el uso obligatorio del bozal en la calle;1
tienen a esta gentuza borrega justo donde la querí­an.;4
el método infalible para marcar a gente como apestados.... antes eran judí­os.... hoy son leprosos covid....la misma jugada pero con distinto collar....;1
el inepto no acierta ni una y miente más que caga.;4
eres un desgraciado, mira que criticar a un enfermero de uci que se ha hartado de ver muertos en toda la pandemia. tí£Âº desde tu sofí£Â¡ y tu teclado negacionista habí£is hecho mucho mí£Â¡s por los ciudadanos, claro.;1
es que cuando eres feo, no queda otro remedio...;4
pierdes el tiempo. son irrecuperables descerebrados.;4
"se sientes mutilado sin mascarilla ??? serás tontolaba.
";4
otro bocachancla diciendo mamattachadas;4
que pandilla de falsantes enriqueciendose.Â ;4
hijos de la gp sois ustedes, los anti-ciencias/anti-vax/anti-sentido-comun;4
"jajajajajajajajajajajajajajajajajajajajaja vais a vacunar a vuestras puñeteras madres!Â 
ya mismo a vacunar espermatozoides y óvulos!Â ";4
basura podemí­tica, nada de que extrañarse.;4
dentro de poco será la varianteÂ  de mogolia,así­ hasta que os salga de los huevos,dejarnos de tocarnos los,ya pelmazos.;1
"¿no crees en vacunitas?Â  Â no te la pongas !
ojalá y no tenga que verte la cara..., porque si te veo, tienes números que lo haga para entubarte a tí­ o a un familiar.
luego cuando salgas, si sales, me cuentas lo del pangolí­n.";5
en la boca échate jabon,que te huele todavia peor;4
"menudo horterada propia de &#34;furgolistas&#34; y narcotraficantes de serie b...";2
tú eres un tí­o con poca clase...;1
es tan cateta y de mal gusto como el dueño. no, no es envidia, jajajaja.;4
@buell #25 aquí­ el único paleto y con creeeeeeeeeces eres tú, tanto por faltar como por demostrar conocimiento de causa absolutamente nulo.;4
@fi #66. eso ya lo exigen los asquerosos podemitas.;4
@gildo #138 vaya, tenemos por aquí­ a un miserable homófobo;4
@jjtop #79 tú si que eres tonto, asqueroso y mentiroso.;4
@metytaf #48 es usted un buitre carroñero,deje el del más tu,;4
@montag #133 ya ves la hora que es y me iré a dormir cuando quiera...tonto la pollaÂ¡Â¡Â¡;4
@nickenino #55 y tu padre puede ser cualquiera hijo de p..;4
que tiene que decir a esto .  sr@  marlaska . ( bazobia  polí­tica  que tenemos en este paí­s );4
@networkingmatch #11 tú sí­ que eres un desecho, adefesio!;4
la carroña siempre sera carroña;4
@dilan #16 eso mismo pensaba yo: para qué coj*** tienen tantas armas la policí­a, gc y ejércitos si no es para matar a los enemigos públicos como estos anormales? se les mata y punto pelota. o el buenismo progre nos ha arruinado tanto?!!;5
narco bueno es el narco muerto, eso tambien debia ser asi para los grandes criminales sociales, pero el buenismo masonil progre ha hecho otra cosa...;5
@jesusmanu48 #34 tienes pruebas o simplemente por odio?tienes alguna prueba donde pone en el islam hay que tirarle ácido a una persona o animal ?cuantas mujeres han sido asesinadas en españa a manos de sus parejas españolas o violadores españoles...mari luz, marta del castillo,luelmo,diana quer etc etc !! de que religión son estos asesinos terroristas???quiero una respuesta?;2
hay que cogerlo y darle un chupito del mismo ácido, más que nada para que aprenda él y los que son como el que la violencia no es gratuita. por cierto donde pudo adquirir este ácido prácticamente puro?;5
@andando #10 que coño que condena, tiro en la sien y más barato nos sale a todos;5
@contestano #76 mejor, una corbata colombiana...;5
@demente4444 #222 yo acabo de ver las noticias de la sexta y se ha visto su cara de hijo de la gran pu... ta perfectamente...;4
da igual que sea español o extranjero..... los delincuentes campan a sus anchas en este paí­s y nos estamos equivocando. la mala hierba hay que cortarla de raí­z. si no lo hacemos, nos suicidamos;5
en estados unidos sí­ saben terminar las persecuciones con este tipo de sujetos.;1
esta condenado y libre desde hace un año y ahora todo el despliegue para pillarlo. si esta claro como hay que delinquir...;5
una buena bala certera, habrí­a terminado rápido con su huida.;5
@hondonero #1 yo opto por el ahorcamiento, con el fusilamiento se gastan balas y debemos ser ahorradores.;5
este desecho humano debe ser fusilado sin contemplaciones, es un delincuente parásito y dañino que nada aporta a la sociedad. menos eutanasia y más pena de muerte.;5
deberí­a haber delitos, como el que ha cometido esta bestia, que se pagasen con la ley del talión. todo lo que sea menos que hacerle a él lo que él ha hecho será una injustic.;5
lastima no se escapara un tiro.......;5
un árbol y una cuerda. y unas cervezas bien frí­as ...;5
"y yo me pregunto... ¿ y el padre de la chica no podrí­a ofrecer un algo a un recluso para que el melillero tenga un accidente en la cárcel?; es solo una reflexión.";5
yo le meterí­a los huevos en ácido sulfúrico y se los dejarí­a marinando un par de dí­as para ver qué tal le sienta.;5
deberí­a conllevar compartir módulo en la cárcel con una banda de mafiosos kosovares;1
su castigo deberí­a ser echarle ácido como hizo con esas pobres chicas.;5
al mar con ellos y se acabó el problema, han marcado para toda la vida a esa familia y trabajador y ellos en 5 años en la calle;5
así­ les partan a esa chusma en la cárcel la cabeza, como lo hicieron a ese pobre vigilante;4
podrí­amos hacer una colecta para que un preso lo pinche en la cárcel;5
@schwifty #33 pagarí­a mucho dinero por haberle hundido los dientes para adentro conforme dijo eso.;5
menuda gentuza este concejal;4
los nuevos españolitos.bienvenidos al reino..mucha salud suerte y felicidad..ahora a educaros bien..y a ser personas de bien..que teneis que pagarnos la pension a los que llevamos currando toda la vida...;1
@edgar16 #4 tienes razón yo bloqueaba las puertas y todas las salidas durante 15 dias. y luego las salida de uno en uno y a identificar.;5
a esta gentuza le importa un rave, un rábano, la salud de todos.;4
@champion1 #198 hombre, estos en particular son despojos humanos, le aseguro que los hay mejores.;1
gente así­ donde mejor están es bajo tierra. si soy yo el padre les falta campo para correr a los responsables.;5
la nueva españa apesta;4
no acabo de entender el problema. la solucion es muy sencilla, pero por lo visto no se puede escribir aqui porque la censuran;1
si los pillo en ese momento, los machaco!...;5
los jueces que permiten estas sentencias laxas en contra de elementos violentos, deber ser puestos en la cárcel por ineptos, junto a sus sentenciados. la justicia debe ser firme y severa contra quienes agreden a otros, más teniendo una condición sicológica . mientras existan estas sentencias blandengues , seguirán estos malditos delinquiendo y amedrentando a personas;4
exterminarlos ya!!!;4
hay que eliminar todas estas razas.;4
@azogue__54 #97 vaya majadero......y encima , te creeras ocurrente, gracioso, agudo, habil......pobre !!!;4
choriza, ladrona y delincuente, fí­jate quién va a hablar!!!!! una chori como todos los indepas catalufos.;4
esta es boba desde antes de su concepción.;4
esta ladrona, dando lecciones de queeeeeeeeeeeeeee ???????????? anda cepito, busca la vacuna contra el golpismo para ti y tu circulo de golpistas.;4
@only_me #98 la gusrdia civil no arresta tontos como tu.;4
@only_me #98 y si se empieza a fusilar como dice algún descerebrado independentista ?;5
qué vergüenza la fascista ésta;4
racista y supremacista, ke pena....;4
@eltuerton #60 tu madre ya me dijo que eras muy tonto.;4
@gmlr #117 es usted un tarado .;4
esta mujer habla por no callar. que asco!!!!;4
@donguindo #23 normalmente todo ser con pocas luces tiende a insultar en vez revatir técnicamente. hasta otra y siga ud con sus tonterí­as y memeces sr perroflauta;4
aprenda a escribir ya que presume tanto de ser profesora.;1
un indeseable menos.;4
chico, no entiendes de fútbol una mierda;4
esta mierda de lí­der ya se va, tic tac, tic tac, 20 de enero good bye asshole !!!;4
pinta culos;4
que hijos de puta;4
vergonzoso, son un atajo de inútiles.;4
hijo de puta,y con este frio seguro que te encoge;4
mi vagina se ofendio!!!!;4
desgraciado;4
pues dimitir, payasos. que no valéis para nada.;4
iros a tomar por culo!;4
a este gilipollas lo soltaba en la américa profunda;4
espero que cuando le cojas le metan en la cárcel por lo menos un par de meses por hijo de p*** pues hijo de p***;4
este imbecil hace lo que hace por que esta el tren vací­o y sabe que nadie le va partir la cara, si no habrí­a ido con la cabeza gacha como todo los jododidos dí­as;4
puta escoria;4
que ascazo de tí­o y que la naturaleza permita que sus madres se reproduzcan...;4
que asco das !!!!!!!!!;4
qué asco de gente...;4
si ves bien su pinta, te darás cuenta que si volviese hitler, serí­a de los primeros en fusilar... merece le den por culo pero bien, bueno no, igual lo disfruta ...;5
un ejemplo de un intolerante sin cerebro, espero le cojan y caiga la justicia sobre este burro o por lo menos, una somanta de ostias  que le quiten la imbecilidad de por vida, pero a base de bien!!;4
reunión de genocidas carniceros carroñeros;4
la presidenta es tontaaaaaaa,no sabe ni por dónde va!!!!!!;4
con dos cojones!!!! sois tan subnormales como la ministra;4
hijadeputa;4
hijos de la gran p.... putos miserables;4
hijos de la gran...;4
hijos de p..;4
hijos de puta, solo unos cuantos euros.....?;4
hijos de puta. no se os puede llamar de otra forma.;4
"hijos de puta.
ahora se lo contaí­s a las miles de familias que no tienen para comer.";4
hijos de satanás!!!!!con una pandémia , miles de personas con ertes y otros tantos despedidos de sus trabajos y no se despeinan para masacrarnos.;4
hijosdelagrandisimaputasuciasratasdecloaca;4
jajajajaja.  menuda mierda aois;4
la madre que les parií² y se quedan tan frescos;4
lo pais, pero de verdad no os da vergüenza ser tan sumamente lameculos?;4
los hdp, es que no se ponen ni colorados.;4
los huevos cuadrados tenéis... pero cuadrados... putos vendidos sois...;4
malnacidos!.;4
mecagoensuputasmuelas!;4
mierda de  periodismo a sueldo del gobierno, lo paí­s , sois miserables un rato largo...;4
no se puede ser más cí­nico ni más hijo de puta;4
no se puede ser más cí­nico,mal gobierno y gentuza .... de verdad que no.;4
no se puede ser más sádico;4
no se puede ser más sinvergüenza, tratan a los ciudadanos literalmente por tontos;4
no se puede ser más sinvergüenza.;4
nunca habí­a visto a semejante gentuza;4
os vais a la mierda directamente. pues mejor que lo bajen unos cuantos euros, no? total, no hay que alarmarse #gobiernodeinutiles;4
panfleto de panfletos, sectario de sectarios, asco profundo...;4
payasos;4
pero me cago en mi puta madre;4
pues nos cagaremos en unos cuantos de vuestros muertos;4
puto saco de mentiras;4
que asco de periódico?;4
que asco de progresismo...;4
qué declaraciones más vergonzosas. solo por eso, deberí­a dimitir. solo uno euros... miserable;4
qué hijos de puta sois/son.;4
que hijos de puta!! que no se haga alarmismo.... hay que tener caradura;4
que hijos de putas son;4
que jeta y q hdp sois;4
que os den;4
que os follen, así­ de claro.;4
que panda de hijos de puta...;4
serán hijos de puta!!!!!;4
sois unos sinvergüenzas, qué puto asco.;4
¿qué demonios significa la escena poscréditos de â€˜cruellaâ€™?;1
el palo de modric a piqué por ir a pedir explicaciones al árbitro tras el clásico: estás esperando para rajar ahora, eh;2
vivan los marginados;1
@smedial y tú a mirar, como siempre, y a protestar, como siempre. hacer, nada de nada.;1
@rosyrunrun que, mas quisieras llegar a los 78 años como maria teresa campos tan lucida y, con ese curriculum. cerda y, muy prepotente nadie tiene la culpa de lo que te pasa en tu vida privada isabel la pueblerina que gracias a andrés caparros pudiste llegar. pueblerina.;4
podéis ser más ruines??;4
el donnadie del momento que se tira un pedo y es noticia nacional como si nos interesa lo que hace este sujeto andrajoso.;4
qué se siente siendo el panfleto que más puto asco da, al nivel ok diario?;4
menuda panda de payasos;4
puto psicópata;4
con todo respeto para el que se ofenda pero en bolivia también neva y nunca se ha oí­do que salgan con estupideces como la española está...;4
si es cierto, es el colmo de la estupidez.;4
eso eso lo de respetar como que no, verdad?? en tu cara me cago yo;5
madre mí­a! con la cantidad de magní­ficos pianistas que hay en españa y viene este impresentable a dar â€œla notaâ€!;2
mala persona. peor pianista. adiós, manco;4
va usted a tomar porculo. esoañolito;4
menudo tendencioso de mierda de periodista;4
@almudenamf de don no tiene nada. ladrón, corrupto y putero. dejen de lamerle el culo.;4
la culpa es de los estupidos sin cerebro que le siguen;4
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
el hospital está vací­o. terrorismo informativo.;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
reamente... nivel de ortografí­a de un niño repetidor de educación infantil.;2
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
"nos vamos a reunir con quien nos salga de las pelotas.

terroristas informativos";4
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
"no ve a su familia porque es un deficiente mental. 
indigente intelectual.";4
terrorismo informativo;1
terrorismo informativo;1
terrorismo informativo;1
ni un dí­a sin escandaloso gubernamental.;1
tontaaaaaaa;4
sánchez es idiota;4
a la cárcel de por vida hdlgp;4
la misma mierda son;4
que se pudra en la cárcel.;4
eres tonta de nacimiento o eres así¬ de mayor.;4
tienen la a cara como el hormigón;1
el problema de estos gilipollas no esq se estrellen ellos.........esq se llevan x delante a alguien;4
eso. a votar. a llenar las oficinas de correos, q se jodan y se mueran los carteros. para qué posponer las elecciones. el covid para unas cosas es malisí­simo, para otras no importa. sabiendo lo que está cayendo. pobres empleados de correos y pobres los encargados de las urnas;4
simplemente, sinvergüenzas y que dimitan.;4
"como tu trataste a tus asesinados no?
respetando el derecho más básico...
ala al trullo asesina";4
se les ha ido la pinza;1
otro  jilipollas .;4
prensa cloaca y millonarios antipatriotas;1
pero como podéis mentir así­????????? publicad la traducción í­ntegra y literal de toda la grabación si teneis huevos;4
el mundo nos roba!!;1
si el titular fuera: â€œdos menores del centro..........â€, tal vez no serí­a noticia. periodismo al servicio del odio (si es que esto es periodismo);1
y aún así­ es capaz de defraudar hacienda jajajaja qué vergüenza de mafia.;1
yo del padre del joven los busco y se acabó el problema y disculpen el comentario son unos hdgp cobardes esto pasa cuando no se educa y corrige a los hijos, padre responsable corrige, ama y educa.;4
ciérrate tu, asqueroso;4
no hay peor pandemia que la de este inútil gobierno;4
un asco de portada...;4
otro tonto a las 3;4
esta mujer es un esperpento,  en msnos de menuda gentuza estamos,,,,;4
sinvergüenza!!!!!!!!!!!!!;4
@lavanguardia @masdexaxas como puigdemont  son la misma mierda;4
@lavanguardia @jaumevaroca @nachoorovio menudos hijos de puta !! para rastreadores no hay dinero ! pero para cobrar multas lo que haga falta !! ;4
joder, eso es como regalar una bicicleta a echenique. que hijoputas.;4
pues que no se lo vendan, joder. un paquete de 6 rollos por persona y a su puta casa. panda de egoí­stas agoní­as.;4
"medios vendidos, terrorismo informativo.

cobardes";4
tanto rollo para hablar de fútbol...¿a quien le importa? que basura de panfleto;4
criminal illa;4
adjetivos calificativos nada más a parte de ser un gil y pollas de cuidado;4
sinvergüenzas;4
qué sinvergüenza este loco incendiario!;4
@lavanguardia jodo con los salvadores;1
olvidate de mí­.idiota;4
sinvergüenzas.;4
es que aquí­ en madrid lo que hay son unos cuantos marginales que deberí­an de haber quedado sepultados bajo la nieve y así­ no joder más nunca;5
se puede ser más bobo .;4
hijos de mil frutas  tú si que eres más malo que la sarna;4
ijadeputa;4
sánchez.... ese enfermo mental.;4
abusones q verguenza q se permita esto;4
que verguenza lo de las vacunas tanto esperarlas para nada;1
@lavanguardia cabrones, mal nacidos,cobardes ;4
@lavanguardia menudo hdp;4
por apoyar a ese cerdo le deberí­an cerrar la cuenta a ella también...si es que tiene.;4
ojalá muera con sufrimiento extremo.;5
anda y que te follen miserable;5
canallas!!! eso no es prevaricación?;4
@lavanguardia @tonimunoz que se pudra en la cárcel;5
@lavanguardia pero que mierda de titular es este ?;4
"@pablocasado_ 
 fraca-sado = retra-sado";4
que empiecen con las pruebas anales con el gobierno...;1
eres gilipollas @alfredoduro1;4
tendrí­a que pudrirse en la cárcel, eso serí­a mucho más humano  que lo que hizo el.;5
el mundo miente.;1
el temporal culpa de podemos  periodismo basura.;4
wtf??  sois patéticos;4
callaos ya de una vez!!! tarados;4
y yo insisto en que eres un hijo de puta que deberí­a ser procesado penalmente.;5
seguid educándolos, gilipollas, seguid.;4
mhdp;4
filósofo de los cojones enchufao vayase usted a la mierda.;4
con el frí­o los idiotas se multiplican como gremlins;4
pero como podéis publicar está mierda.;4
puta mierda de periodismo, volumen 394749 by abc. nada nuevo;4
joder es aún mas gilipollas de lo q parecí­a anda y vete a vender espetos;4
q cojones decí­s.;1
sois basura. ba su ra. baaaaaaa suuuuuuuu raaaaaaaa;4
vamos pputoss rojosss seguid votando al hdgp sssanchezzz;4
vaya tio hipocrita;4
me pagáis vosotros el alquiler i los recibos hijos de puta;4
dais asco.;4
qué lerda, por favor...;4
sois escoria.;4
al talego la escoria esta;4
